"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","State","Policy","OS Version","Offline Date","Agent Version","Zones","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","IP Addresses","MAC Addresses","Last Reported Users","Background Detection"
"Protected","VSRVDESWASINFA","vsrvdeswasinfa.ADBancat.hn","CN=VSRVDESWASINFA, CN=Computers, DC=ADBancat, DC=hn","Domain Computers","Offline","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","6/4/2019 4:33:24 AM","2.0.1530","BASA HN SERVERS DEV, BASA HN SERVERS PRD","10/25/2018 2:17:05 AM","32829","0","0","0","0","0","0","150.150.60.66","00-50-56-9A-00-63","VSRVDESWASINFA\INFADMIN","Not Running"
"Protected","SRV-CONONLINE","SRV-CONONLINE","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","","2.0.1530","BASA HN SERVERS DEV","11/15/2018 3:11:12 PM","89757","0","0","0","0","0","19","150.150.6.134","00-50-56-B0-73-69","SRV-CONONLINE\CONSULTOR","Not Running"
"Protected","OCBPRDDB","OCBPRDDB","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/16/2018 5:47:51 PM","31918","0","0","0","0","0","5","10.128.254.46","00-50-56-B0-41-B1","OCBPRDDB\OCBADM","Not Running"
"Protected","OPINCOMING","OPIncoming","","","Offline","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","3/11/2019 5:18:39 AM","2.0.1530","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","11/16/2018 6:13:10 PM","24331","0","0","0","0","0","0","150.150.10.114","00-50-56-B0-25-02","OPINCOMING\EVERTEC","Not Running"
"Protected","SRV-ATMFULL-QA","SRV-ATMFULL-QA.ADBancat.hn","CN=SRV-ATMFULL-QA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/16/2018 5:00:06 PM","45623","0","0","1","0","0","3","10.128.254.12","00-50-56-B0-CC-FB","SRV-ATMFULL-QA\INFADMIN","Not Running"
"Protected","DES-APP-LEGAL","DES-APP-LEGAL","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/16/2018 5:00:40 PM","37559","0","0","0","0","0","4","150.150.6.57","00-50-56-B0-04-52","DES-APP-LEGAL\INFADMIN","Not Running"
"Protected","SRV-MICC-PRE","SRV-MICC-PRE","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 9:48:36 PM","54143","0","0","1","0","0","0","10.128.254.20","00-50-56-B0-6A-AE","SRV-MICC-PRE\INFADMIN","Not Running"
"Protected","VSRV-GRPDESNO3","VSRV-GRPDESNO3","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS DEV","11/26/2018 10:21:09 PM","40462","0","0","2","0","0","30","150.150.6.88","00-50-56-B0-0C-6A","VSRV-GRPDESNO3\EFMARTINEZ,VSRV-GRPDESNO3\INFADMIN,VSRV-GRPDESNO3\AAFLORES,VSRV-GRPDESNO3\IELVIR","Not Running"
"Protected","SVR-KIOSCOSQAS","SVR-KIOSCOSQAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 10:03:57 PM","35255","0","0","1","0","0","6","10.128.254.23","00-50-56-B0-4C-13","SVR-KIOSCOSQAS\INFADMIN","Not Running"
"Protected","SVR-TIGOMONEYQA","SVR-TIGOMONEYQAS","","","Online","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","","2.0.1530","BASA HN SERVERS QAS","11/26/2018 10:06:32 PM","29934","0","0","1","0","0","0","10.128.254.26","00-50-56-B0-CA-47","SVR-TIGOMONEYQA\INFADMIN","Not Running"
