"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","IP Addresses","MAC Addresses","Policy","OS Version","Zones","State","Offline Date","Agent Version","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","Last Reported Users","Background Detection"
"Protected","VSRV-TERM-MAST","VSRV-TERM-MAST","","","150.150.60.47","00-50-56-B0-2A-27","5-AQT MPT SCB","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","BASA HN SERVERS PRD","Online","","2.0.1530","5/6/2019 12:08:28 PM","31602","0","0","1","0","0","0","VSRV-TERM-MAST\OPERADOR","Not Running"
"Protected","MONDB","MonDB.ADBancat.hn","CN=MONDB, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.60.164","00-50-56-82-D1-7E","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","11/26/2018 10:28:22 PM","57718","0","0","0","0","0","1","ADBANCAT\MONITOR,MONDB\INFADMIN","Not Running"
"Protected","APPJAVA-QA","APPJAVA-QA","","","10.128.254.36","00-50-56-B0-45-4E","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS QAS","Online","","2.0.1530","3/1/2019 6:16:04 PM","27041","0","0","1","0","0","0","APPJAVA-QA\INFADMIN","Not Running"
"Protected","NTAFLOWCOLLECTO","NTAFlowCollector","","","10.128.0.137","00-50-56-A8-31-47","5-AQT MPT SCB","Microsoft Windows Server 2016 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","3/13/2019 4:16:44 AM","63073","0","0","0","0","0","0","NTAFLOWCOLLECTO\INFADMIN","Not Running"
"Protected","SADESOCBSP05_DB","SADESOCBSP05_DB.ADBancat.hn","CN=SADESOCBSP05_DB, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.185","00-50-56-B0-CB-25","5-AQT MPT SCB + Optics","Microsoft Windows Server 2016 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","6/7/2019 5:07:40 PM","50679","2","0","0","0","0","0","SADESOCBSP05_DB\OCBSP05","Not Running"
"Protected","FRONTEND2","Frontend2","","","150.150.70.178","00-50-56-A8-2D-89","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","10/30/2018 6:07:24 PM","39887","0","0","1","0","0","3","FRONTEND2\SAP","Not Running"
"Protected","VSRVSAPTREXPRD","vsrvsaptrexprd","","","150.150.70.84","00-50-56-B0-CD-D1","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS SAP","Online","","2.0.1530","11/16/2018 5:00:15 PM","26477","0","0","0","0","0","0","VSRVSAPTREXPRD\INFADMIN","Not Running"
"Protected","COTIZADOR-DEV2","Cotizador-DEV2","","","150.150.6.99","00-50-56-B0-87-8B","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS DEV","Online","","2.0.1530","12/17/2018 4:55:27 PM","73606","0","0","1","0","0","18","COTIZADOR-DEV2\INFADMIN","Not Running"
"Protected","NIPRDPELOM_DB","NIPRDPELOM_DB.ADBancat.hn","CN=NIPRDPELOM_DB, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.14.10","00-50-56-A8-B5-11","5-AQT MPT SCB","Microsoft Windows Server 2012 R2 Standard","BASA HN SERVERS PRD","Online","","2.0.1530","4/25/2019 9:48:13 PM","51579","3","0","0","0","0","0","NIPRDPELOM_DB\CONSULTOR,NIPRDPELOM_DB\INFADMIN","Not Running"
"Protected","DATAQUALITY","DataQuality","","","150.150.6.171","00-50-56-B0-BE-1D","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","BASA HN SERVERS DEV","Offline","3/18/2019 5:48:00 PM","2.0.1530","3/3/2019 3:30:58 AM","62518","0","0","0","0","0","0","DATAQUALITY\INFADMIN","Not Running"
"Protected","jtar2-02","jtar2-02","","","150.150.60.183","00-0C-29-44-D7-61","5-AQT MPT SCB","Red Hat Enterprise Linux Server release 7.5 (Maipo)","BASA HN SERVERS PRD","Online","","2.0.1530","3/21/2019 11:00:04 PM","9313","0","0","0","0","0","52","","Not Running"
