"Unsafe/Protected","Name","DNS Name","Distinguished Name","Member of","IP Addresses","MAC Addresses","Agent Version","Policy","OS Version","State","Zones","Offline Date","Added","Files Analyzed","Script Control","Unsafe","Quarantined","Waived","Abnormal","Exploit Attempts","Last Reported Users","Background Detection"
"Protected","VSRVDESWASINFA","vsrvdeswasinfa.ADBancat.hn","CN=VSRVDESWASINFA, CN=Computers, DC=ADBancat, DC=hn","Domain Computers","150.150.60.66","00-50-56-9A-00-63","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS DEV, BASA HN SERVERS PRD","6/4/2019 4:33:24 AM","10/25/2018 2:17:05 AM","32829","0","0","0","0","0","0","VSRVDESWASINFA\INFADMIN","Not Running"
"Protected","SRV-CONONLINE","SRV-CONONLINE","","","150.150.6.134","00-50-56-B0-73-69","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/15/2018 3:11:12 PM","94024","0","0","0","0","0","19","SRV-CONONLINE\OPERADOR,SRV-CONONLINE\CONSULTOR","Not Running"
"Protected","SRV-ATMFULL-QA","SRV-ATMFULL-QA.ADBancat.hn","CN=SRV-ATMFULL-QA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.12","00-50-56-B0-CC-FB","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/16/2018 5:00:06 PM","52332","0","0","1","0","0","4","SRV-ATMFULL-QA\INFADMIN","Not Running"
"Protected","DES-APP-LEGAL","DES-APP-LEGAL","","","150.150.6.57","00-50-56-B0-04-52","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/16/2018 5:00:40 PM","37739","0","0","0","0","0","4","DES-APP-LEGAL\INFADMIN","Not Running"
"Protected","OCBPRDDB","OCBPRDDB.ADBancat.hn","CN=OCBPRDDB, OU=Produccion, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.46","00-50-56-B0-41-B1","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/16/2018 5:47:51 PM","37132","0","0","0","0","0","6","OCBPRDDB\OCBADM,OCBPRDDB\INFADMIN","Not Running"
"Protected","OPINCOMING","OPIncoming","","","150.150.10.114","00-50-56-B0-25-02","2.0.1530","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","Offline","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","7/11/2019 10:42:24 PM","11/16/2018 6:13:10 PM","24331","0","0","0","0","0","0","OPINCOMING\INFADMIN","Not Running"
"Protected","IATGUADMSYS3","IATGUADMSYS3.ADBancat.hn","CN=IATGUADMSYS3, OU=INFATLAN, OU=Computadores, DC=ADBancat, DC=hn","","150.150.10.170","64-00-6A-0F-88-2A","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows 7 Professional, Service Pack 1","Online","BASA HN INFATLAN TGU, BASA HN SERVERS DEV","","11/26/2018 9:01:03 PM","112946","0","0","4","0","0","1","ADBANCAT\LMURILLO","Not Running"
"Protected","SRV-MICC-PRE","SRV-MICC-PRE.ADBancat.hn","CN=SRV-MICC-PRE, OU=Produccion, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.20","00-50-56-B0-6A-AE","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","Offline","BASA HN SERVERS QAS","8/19/2019 5:53:36 PM","11/26/2018 9:48:36 PM","59142","0","0","1","0","0","0","SRV-MICC-PRE\INFADMIN","Not Running"
"Protected","VSRV-GRPDESNO3","VSRV-GRPDESNO3.ADBancat.hn","CN=VSRV-GRPDESNO3, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.88","00-50-56-B0-0C-6A","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:21:09 PM","49492","0","0","2","0","0","55","VSRV-GRPDESNO3\IELVIR,VSRV-GRPDESNO3\EFMARTINEZ,VSRV-GRPDESNO3\INFADMIN","Not Running"
"Protected","SVR-KIOSCOSQAS","SVR-KIOSCOSQAS","","","10.128.254.23","00-50-56-B0-4C-13","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/26/2018 10:03:57 PM","35455","0","0","1","0","0","8","SVR-KIOSCOSQAS\INFADMIN","Not Running"
"Protected","SVR-TIGOMONEYQA","SVR-TIGOMONEYQAS","","","10.128.254.26","00-50-56-B0-CA-47","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/26/2018 10:06:32 PM","30109","0","0","1","0","0","0","SVR-TIGOMONEYQA\INFADMIN","Not Running"
"Protected","WIN-R6E4R4D8V7E","WIN-R6E4R4D8V7E","","","150.150.6.70","00-50-56-B0-37-FD","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:11:28 PM","62899","0","0","1","0","0","1","WIN-R6E4R4D8V7E\INFADMIN","Not Running"
"Protected","ADMONSISDESIGNS","AdmonSisDesigns","","","150.150.10.60","00-50-56-B0-19-FC","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Offline","BASA HN INFATLAN TGU, BASA HN SERVERS PRD","8/19/2019 5:54:44 PM","11/26/2018 10:25:37 PM","39601","0","0","2","0","0","1","ADMONSISDESIGNS\ADMINISTRATOR,ADMONSISDESIGNS\GNAVAS,ADMONSISDESIGNS\SISADMIN","Not Running"
"Protected","FTPBACKUP","FTPBackup.ADBancat.hn","CN=FTPBACKUP, OU=Contingencia, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.150","00-50-56-B0-D4-93","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:26:54 PM","211935","0","0","1","0","0","4","FTPBACKUP\ADMINISTRATOR","Not Running"
"Protected","QASAPPINTER","QASAPPINTER","","","10.128.254.13","00-50-56-B0-2D-59","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS QAS","","11/26/2018 10:27:53 PM","56650","0","0","1","0","0","49","QASAPPINTER\INFADMIN","Not Running"
"Protected","SVR_COOPEINFA","SVR_COOPEINFA","","","150.150.6.34","00-0C-29-7C-11-7F","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:28:30 PM","47458","0","0","1","0","0","0","SVR_COOPEINFA\INFADMIN","Not Running"
"Protected","VSRV-SQLQAS","VSRV-SQLQAS.ADBancat.hn","CN=VSRV-SQLQAS, OU=QA, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","10.128.254.30","00-50-56-B0-92-C4","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Offline","BASA HN SERVERS QAS","8/19/2019 5:52:48 PM","11/26/2018 10:17:48 PM","36703","0","0","3","0","0","0","VSRV-SQLQAS\INFADMIN","Not Running"
"Protected","SVR-SOCKETSQAS","SVR-SOCKETSQAS","","","10.128.254.25","00-50-56-B0-37-70","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS QAS","7/31/2019 5:21:09 PM","11/26/2018 9:40:13 PM","42951","0","0","1","0","0","0","SVR-SOCKETSQAS\INFADMIN","Not Running"
"Protected","SC-DB-DEV","SC-DB-DEV","","","150.150.6.117","00-50-56-B0-D6-8B","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:29:31 PM","31137","0","0","0","0","0","4","SC-DB-DEV\INFADMIN","Not Running"
"Protected","SC-WS-DEV","SC-WS-DEV","","","150.150.6.118","00-50-56-B0-AA-E8","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:29:35 PM","27388","0","0","0","0","0","5","SC-WS-DEV\INFADMIN","Not Running"
"Protected","HNDEVCAJA","HNDEVCAJA.ADBancat.hn","CN=HNDEVCAJA, CN=Computers, DC=ADBancat, DC=hn","Domain Computers","150.150.6.76","00-50-56-9A-4D-D1","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Offline","BASA HN SERVERS DEV","8/15/2019 1:50:43 PM","11/26/2018 10:29:35 PM","51732","0","0","1","0","0","0","HNDEVCAJA\INFADMIN","Not Running"
"Protected","VSRVAPPINTSD","VSRVAPPINTSD","","","150.150.6.11","00-50-56-B0-B7-66","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:30:24 PM","146576","0","0","3","0","0","0","VSRVAPPINTSD\GSOLER","Not Running"
"Protected","PAYEXPEDITE-DES","PayExpedite-DES","","","150.150.6.91","00-50-56-B0-83-3F","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:31:01 PM","61549","0","0","1","0","0","0","PAYEXPEDITE-DES\INFADMIN","Not Running"
"Protected","VSRVEDPCLEAR","VSRVEDPClear","","","150.150.6.31","00-50-56-9A-56-E3","2.0.1530","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","Offline","BASA HN SERVERS DEV","8/19/2019 5:52:03 PM","11/26/2018 10:31:22 PM","32821","0","0","0","0","0","0","VSRVEDPCLEAR\EDPADMIN","Not Running"
"Protected","VSRV-DES-KIOSK","VSRV-DES-KIOSK.ADBancat.hn","CN=VSRV-DES-KIOSK, OU=Produccion, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.20","00-50-56-9A-00-21","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:31:37 PM","41690","0","0","0","0","0","0","VSRV-DES-KIOSK\INFADMIN","Not Running"
"Protected","VSRVEDPREPDES","VSRVEDPREPDES","","","150.150.6.39","00-50-56-9A-7E-3A","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:32:09 PM","37101","0","0","0","0","0","0","VSRVEDPREPDES\EDPADMIN","Not Running"
"Protected","VSRVEDPCOM","VSRVEDPCom","","","150.150.6.30","00-50-56-B0-23-DF","2.0.1530","5-AQT MPT SCB + Optics","Microsoft® Windows Server® 2008 Enterprise, Service Pack 2","Online","BASA HN SERVERS DEV","","11/26/2018 10:31:08 PM","33144","0","0","0","0","0","0","VSRVEDPCOM\INFADMIN,VSRVEDPCOM\EDPADMIN","Not Running"
"Protected","SRVDESA-APPINT","SRVDESA-APPINT","","","150.150.6.60","00-50-56-B0-64-66","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:35:04 PM","69685","0","0","1","0","0","29","SRVDESA-APPINT\INFADMIN","Not Running"
"Protected","MONALERTASD","MonAlertasD.ADBancat.hn","CN=MONALERTASD, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.120","00-50-56-B0-69-FD","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:36:08 PM","39029","0","0","1","0","0","0","MONALERTASD\INFADMIN","Not Running"
"Protected","MONANALISIS2D","MonAnalisis2D.ADBancat.hn","CN=MONANALISIS2D, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.122","00-50-56-B0-E2-B7","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:36:31 PM","43510","0","0","0","0","0","3","MONANALISIS2D\INFADMIN","Not Running"
"Protected","MONSIMULADORD","MonSimuladorD.ADBancat.hn","CN=MONSIMULADORD, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.123","00-50-56-B0-CE-77","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:36:37 PM","36702","0","0","0","0","0","7","MONSIMULADORD\INFADMIN","Not Running"
"Protected","VSRVFNX08-N","VSRVFNX08-N.ADBancat.hn","CN=VSRVFNX08-N, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.85","00-50-56-B0-54-CC","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:36:53 PM","44068","0","0","0","0","0","0","VSRVFNX08-N\INFADMIN","Not Running"
"Protected","SRV-DESA-GRUP1","SRV-DESA-GRUP1.ADBancat.hn","CN=SRV-DESA-GRUP1, OU=Desarrollo, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.87, 192.168.145.67","00-50-56-B0-0D-27","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2008 R2 Standard, Service Pack 1","Online","BASA HN SERVERS DEV","","11/26/2018 10:37:23 PM","93161","0","0","2","0","0","0","SRV-DESA-GRUP1\NWONG","Not Running"
"Protected","MONDBD","MonDBD.ADBancat.hn","CN=MONDBD, OU=HONDURAS, OU=SERVIDORES, OU=Computadores, DC=ADBancat, DC=hn","Domain Computers","150.150.6.119","00-50-56-B0-2F-5C","2.0.1530","5-AQT MPT SCB + Optics","Microsoft Windows Server 2012 R2 Standard","Online","BASA HN SERVERS DEV","","11/26/2018 10:38:17 PM","49185","0","0","0","0","0","6","MONDBD\INFADMIN","Not Running"
